Fire Station,Address,Latitude,Longitude
01,"935 Folsom at 5th Street, San Francisco, California, USA",37.779448,-122.404119
02,"1340 Powell Street at Broadway, San Francisco, California, USA",37.797054,-122.410048
03,"1067 Post Street at Polk Street, San Francisco, California, USA",37.78663,-122.419318
04,"449 Mission Rock at 3rd Street, San Francisco, California, USA",37.772821,-122.389055
05,"1301 Turk Street at Webster Street, San Francisco, California, USA",37.780488,-122.430754
06,"135 Sanchez Street at Henry Street, San Francisco, California, USA",37.767088,-122.430754
07,"2300 Folsom Street at 19th Street, San Francisco, California, USA",37.760261,-122.415176
08,"36 Bluxome Street at 4th Street, San Francisco, California, USA",37.777194,-122.396658
09,"2245 Jerold Avenue at Upton Street, San Francisco, California, USA",37.745242,-122.401286
10,"655 Presidio Avenue at Bush Street, San Francisco, California, USA",37.790308,-122.405868
11,"3880 26th Street at Church Street, San Francisco, California, USA",37.748811,-122.426507
12,"1145 Stanyan Street at Grattan Street, San Francisco, California, USA",37.76349,-122.452607
13,"530 Sansome Street at Washington Street, San Francisco, California, USA",37.795552,-122.401411
14,"551 26th Avenue at Geary Boulevard, San Francisco, California, USA",37.779005,-122.485949
15,"1000 Ocean Avenue at Phelan Avenue, San Francisco, California, USA",37.723487,-122.452882
16,"2251 Greenwich Street at Fillmore Street, San Francisco, California, USA",37.798646,-122.436749
17,"1295 Shafter Avenue at Ingalls Street, San Francisco, California, USA",37.72752,-122.385
18,"1935 32nd Avenue at Ortega Street, San Francisco, California, USA",37.750967,-122.49039
19,"390 Buckingham Way at Winston Street, San Francisco, California, USA",37.727825,-122.478965
20,"285 Olympia Way at Clarendon Avenue, San Francisco, California, USA",37.75117,-122.456224
21,"1443 Grove Street at Broderick Street, San Francisco, California, USA",37.775464,-122.44031
22,"1290 16th Avenue at Irving Street, San Francisco, California, USA",37.76399,-122.473645
23,"1348 45th Avenue at Judah Street, San Francisco, California, USA",37.761419,-122.504675
24,"100 Hoffman Avenue at Alvarado Street, San Francisco, California, USA",37.754626,-122.421917
25,"3305 3rd Street at Cargo Way, San Francisco, California, USA",37.746619,-122.386859
26,"80 Digby Street at Addison Street, San Francisco, California, USA",37.740279,-122.43337
28,"1814 Stockton Street at Greenwich Street, San Francisco, California, USA",37.802555,-122.40934
29,"299 Vermont Street at 16th Street, San Francisco, California, USA",37.766605,-122.395976
31,"441 12th Avenue at Geary Boulevard, San Francisco, California, USA",37.779882,-122.470917
32,"194 Park Street at Holly Park Circle, San Francisco, California, USA",37.736442,-122.421216
33,"8 Capital Avenue at Sagamore Street, San Francisco, California, USA",37.710877,-122.4586
34,"499 41st Avenue at Geary Boulevard, San Francisco, California, USA",37.779444,-122.502692
35,"Pier 22 1/2, The Embarcadero at Harrison Street, San Francisco, California, USA",37.790406,-122.388218
36,"109 Oak Street at Franklin Street, San Francisco, California, USA",37.774941,-122.421198
37,"798 Wisconsin Street at 22nd Street, San Francisco, California, USA",37.757401,-122.399229
38,"2150 California Street at Laguna Street, San Francisco, California, USA",37.789665,-122.429958
39,"1091 Portola Drive at Miraloma Drive, San Francisco, California, USA",37.740031,-122.458658
40,"2155 18th Avenue at Rivera Street, San Francisco, California, USA",37.747611,-122.475162
41,"1325 Leavenworth Street at Jackson Street, San Francisco, California, USA",37.793405,-122.41653
42,"2430 San Bruno Avenue at Silver Avenue, San Francisco, California, USA",37.731583,-122.405557
43,"720 Moscow Street at France Avenue, San Francisco, California, USA",37.71634,-122.431694
44,"1298 Girard Street at Wilde Avenue, San Francisco, California, USA",37.716634,-122.400498
48,"800 Avenue I at 10th Street, Treasure Island, San Francisco, California, USA",37.826374,-122.370498
49,"1415 Evans Avenue at Mendell Street, San Francisco, California, USA",37.740773,-122.385334
51,"218 Lincoln Boulevard at Keyes Avenue, San Francisco, California, USA",37.801626,-122.455432
